full_text;Cat
@pln_123 hallo pln, jika melakukan tambah daya pascabayar sebelumnya 450 menjadi 1300 pascabayar, bisa kan yaa tanpa instalasi berubah menjadi prabayar?;1
@pln_123 mati listrik dr jam 7kemaren sampai sekarang blm hidup gimana nih??? Yg mati cm di karangmloko aja, hadeeeh;0
@pln_123 ini d rmh sy di daerah waringinkurung kabupaten serang mati listrik,ini ada apa ya tiba² mati listrik,menghambat kegiatan;0
Tlg @pln_123, sejak permohonan naik daya kemarin gagal isi token terus, akhirnya token habis dan mati. Sampai sekarang belum bisa isi token, tlg dibantu thx.;4
halo pln @pln_123 saya ada kendala isi token;4
tolong listrik mati bales dm @pln_123;0
@pln_123 min ni nomor pengaduan saya g5523032200022 mohon segera ditindak lanjuti.. karena sering sekali mati lampu..;0
@pln_123 Halo min. Ini daerah bumi indah pasar kemis ada pemadaman tapi kayaknya ga seluruhnya. Tapi di tahap 1. Kenapa harus banget di jam tidur sih min? Dari jam 2 pagi sampe sskarang blm nyala. Busettt 😭;0
min @pln_123 ayo min jangan lama2 lampu matinya, geraaahhh;0
@pln_123 min mohon info rumah saya mati dari jam 01.00 WIB.. saya telp di 123 tidak bisa ? saya harus bagaimana ? mohon bantuannya;0
Emang @pln_123 UP3 Kediri ULP grogol punya 1001 alasan buat madamin listrik orang Ada hujan biasa bisa madamin listrik JAM 2 PAGI, kek gak ngerasa dosa gitu ya, madamin listrik seenaknya;0
@pln_123 pulang kerja sampe rmh jam 1 pagi hujan2 mati lampu sialan. pagi mau brgkt mandi mati lampu.. hadeh tapi klo bayar telat di denda emang gtau diri ini punya negara;0
@pln_123 @Nailmumt masih padam min dari jam 1 sampek skarang;0
@pln_123 hallo min ini daerah perum bumi indah tahap 1 pasar kemis kab tangerang ko mati ya listrik nya gaka adq pemberitahuan kah?;0
@pln_123 apaan sih mati listrik jam segini, ada perbaikan apaan sih di sekitaran karang timur jalan bakti;0
Untuk area kediri ini mati listrik sampai kapan pak? @pln_123;0
Mohon maaf kak. Ini mati listriknya sampai kapan ya? @pln_123;0
@pln_123 babelan panas,jgn sering2 dipadamin listriknya,apa jangan2 kalian ...... A. ga kerja B.emang ga kerja C.ya emang ga pernah kerja D.smua jawaban benar;0
TGR rasa Bali, @pln_123 dari jam 00.00 mati lampu cuy! Tolong dong daerah Kreo, Cipadu masa mati lampu trs tiap hari! Saya pny anak kecil riweh bgt tiap mlm kebangun kegerahan!!;0
@pln_123 wilayah babelan dicek,sering padam,jangan2 kalian ..........;0
"@heyistars @pln_123 Begtu padam langsung bkin pngaduan... eh estimasinya 3 jam ktnya.. babelan emang paling klo urusan mati listrik tiba""...""";0
"@prasetyafadly @pln_123 Begtu padam langsung bkin pngaduan... eh estimasinya 3 jam ktnya.. babelan emang paling klo urusan mati listrik tiba""...""";0
@pln_123 babelan sering mati lampu ,serius nanya,kalian bener kerja ga sih;0
Di daerah desa kaliwungu dk kaligandu RT 01 RW 04 kec. Balapulang kab. Tegal sedang ada pemadaman listrik atau gimana ya, soalnya ini sangat menggangu dmn dsini ada bayi jg jadi sangat terganggu untuk pemadaman listrik yang sangat lama ini @pln_123;0
@pln_123 Oyy admin @pln_123 ini Babelan dah 2 jam lebih mati lampu, malam-malam pula. Ganggu waktu istirahat, ayo nyalain admin jangan hanya minta maaf doang. Terimakasih;0
"Min, ini malem mati lampu di daerah surabaya barat pakal sampe jam brppp. Panas bet tlong @pln_123""";0
@PLN123 babelan sering mati lampu,serius nanya,kalian kerjanya ngapainn??????;0
@pln_123 babelan sering mati lampu,serius nanya kalian kerjanya apaa????;0
@pln_123 babelan sering mati lampu terosss,kaliann BISA KERJA,serius nanya;0
Lapor Listrik Padam Sekitar,  Butuh listrik untuk penerangan,ada jenazah yg dimakamkan besok pagi. Mohon dibantu pengecekan jaringan dan ditindaklajuti  @infolistrikdjty @pln_123 Lokasi Desa Banjaranyar RT 6/RW 4 Kec. balapulang. https://t.co/RCAdCEu9WH;0
mati lampu dah sejam anjaaay. gerah banget, banyak nyamuk, baterai 5%, kurang sial apalagi iniii kau buat hariku @pln_123;0
sekarang komplek rumah saya mati lampu 3x 4x dalam bulan ini ada apa lagi? kenapa tiap ada gangguan yang sumbernya jauh perumahan saya selalu jadi kena tumbal? @pln_123;0
@pln_123 halo  Maaf saya mau tanya  Saya ngontrak di Jakarta dengan listrik 1300 Watt pascabayar pemakaian berdua dengan tetangga kontrak saya  Disni saya ingin menanyakan jika ingin beralih ke listrik prabayar dengan Watt masing² 900 apakah kena biaya ?;1
Maaf ini ada perbaikan apa ya, d daerah desa kaliwungu dk. Kaligandu RT 01 RW 04 mengalami pemadaman listrik terlalu lama, dimana disini ada bayi jadi kami sangat terganggu dengan pemadaman listrik ini @pln_123;0
@pln_123 saya hanya lewat tadi di Cirendeu dari arah pdk cabe dan terkena macet karena busnya lama berhenti akibat kabel yg nyangkut karena kalian @pln_123  ga peduli sama kabel yg menggantung berantakan dan rendah ..;0
@pln_123 area sumberejo, Pakal, Surabaya lampu, saat hujan deras, mohon respon dinas terkait. Terima kasih;0
Listrik tiba-tiba padam satu perumahan sejak pukul 00.45 WIB saat ini, lokasi di Graha Kencana Pakal Surabaya, ada kendala apa ya? Tolong dibantu dong @pln_123;0
@pln_123 min, ini mati lampu di semarang daerah tlogosari kulon, bakal lama ga ya??;0
Halo min, ini kalo isi token sekarang gagal terus kenapa ya? Kostku bener² gelap gegara lupa isi 😭😭 @pln_123;4
@pln_123 tolong dong min jgn sering mati lampu lama-lama udah mah tengah malem gini daerah babelan bekasi ampun dah;0
@pln_123 ini daerah tangerang pd permai kutabumu mati lampu udah hampir 4jam-an kenapa deh?;0
@pln_123 apakah ada yang bisa bantu jawap Disni saya ngontrak dengan listrik pascabayar 1300 Watt dan pemakaian berdua dengan kontrakan sebelah saya  Ya ingin saya tanyakan jika ingin mengganti menjadi token dan Watt masing² 900 berapakah biaya nya  Trim;4
Halo @pln_123, listrik di Kemanggisan Ilir 3 Jakarta Barat kenapa, ya? Sejak pukul 21.30 padam lalu menyala dan padam lagi sampai sekarang. Tolong segera ditangani karena sangat menyusahkan kami yang ingin istirahat dan dapat memicu kerusakan pada alat-alat elektronik.;0
Nyala nyala nyala ga ujan ga badai mati lagi @pln_123;0
@pln_123 Minnn...  Ini listrik setiap menjelang bulan puasa ke apa selalu Padam yaa di Bangka Belitung??  Apakah alat nya yg di bawah laut selalu rusak setiap tahun menjelang puasa??   Lama2 alat2 elektronik di rmh rusak min gara2 listrik nya hidupmati hi;0
Cok jncok @pln_123;0
Gg bener bang, dari siang listrik mati sampe sekarang belum nyala lagi @pln_123 👏;0
Ini ngisi token pln gak bisa ya min?😭uda kehabisan banget ini @pln_123;4
@pln_123 PLN rungkut perlu selama inikah untuk menyalakan listrik kembali???;0
Halo @pln_123, listrik di Kemanggisan Ilir 3 Jakarta Barat kenapa, ya? Sejak pukul 21.30 padam lalu menyala dan padam lagi sampai sekarang. Tolong segera ditangani karena sangat menyusahkan kami yang ingin istirahat dan dapat memicu kerusakan pada alat-alat elektronik.;0
Aku butuh ngecas hp cok gawe kerjo engkok isuk @pln_123;0
Cok lampune uripono asu @pln_123;0
@pln_123 Maaf min saya baru tadi dapat info kalau memang ada pemadaman bergilir di wilayah makassar.;0
@pln_123 gak ada angin gak ada hujan Babelan Bekasi kenapa mati ya listriknya?;0
@pln_123 min. Tolong nyalahin dong listrik di perumahan wahana babelan, babelan, bekasi;0
@pln_123 min kok saya ga bisa isi token saya ya, pas mau beli kok ga muncul id pelangganya. notifnya kek gini https://t.co/LSocOp1bqP;4
@tanyakanrl halo @pln_123 wilayah kota magelang mati listrik tengah malam ada apa gerangan?;0
Hadehhhh @pln_123 di Babelan tiba2 padam..knp lagi sih? Gak ada kah perbaikan kualitas jaringan menengah di wilayah Babelan ini? Gak cm 1 atau 2 kali..tpi SERING.. gini amat kualitas nya ya..;0
